Begin,End,Label,Type,Speaker
0.12,0.23,i,words,temp
0.23,0.88,love,words,temp
0.95,1.23,thai,words,temp
1.23,1.75,culture,words,temp
2.51,2.61,i,words,temp
2.61,2.77,would,words,temp
2.77,3.01,like,words,temp
3.01,3.1,to,words,temp
3.1,3.36,try,words,temp
3.36,3.78,cooking,words,temp
3.78,4.0,thai,words,temp
4.0,4.35,food,words,temp
4.35,4.84,myself,words,temp
6.07,6.23,could,words,temp
6.23,6.33,you,words,temp
6.33,6.51,let,words,temp
6.51,6.86,comment,words,temp
6.86,6.9,a,words,temp
6.9,7.2,good,words,temp
7.2,7.64,restaurant,words,temp
7.64,7.76,for,words,temp
7.76,8.0,me,words,temp
8.78,9.02,what,words,temp
9.02,9.14,do,words,temp
9.14,9.2,you,words,temp
9.2,9.51,like,words,temp
9.51,9.6,to,words,temp
9.6,9.78,do,words,temp
9.78,9.96,in,words,temp
9.96,10.1,your,words,temp
10.1,10.32,free,words,temp
10.32,10.66,time,words,temp
11.99,12.33,which,words,temp
12.33,12.52,thai,words,temp
12.52,12.79,dish,words,temp
12.89,13.1,is,words,temp
13.1,13.31,your,words,temp
13.41,13.88,absolute,words,temp
13.88,14.31,favorite,words,temp
0.12,0.23,AY1,phones,temp
0.23,0.6,L,phones,temp
0.6,0.75,AH1,phones,temp
0.75,0.88,V,phones,temp
0.95,1.07,T,phones,temp
1.07,1.23,AY1,phones,temp
1.23,1.43,K,phones,temp
1.43,1.49,AH1,phones,temp
1.49,1.54,L,phones,temp
1.54,1.61,CH,phones,temp
1.61,1.75,ER0,phones,temp
2.51,2.61,AY1,phones,temp
2.61,2.71,W,phones,temp
2.71,2.74,UH1,phones,temp
2.74,2.77,D,phones,temp
2.77,2.85,L,phones,temp
2.85,2.95,AY1,phones,temp
2.95,3.01,K,phones,temp
3.01,3.05,T,phones,temp
3.05,3.1,AH0,phones,temp
3.1,3.19,T,phones,temp
3.19,3.24,R,phones,temp
3.24,3.36,AY1,phones,temp
3.36,3.49,K,phones,temp
3.49,3.52,UH1,phones,temp
3.52,3.64,K,phones,temp
3.64,3.71,IH0,phones,temp
3.71,3.78,NG,phones,temp
3.78,3.9,T,phones,temp
3.9,4.0,AY1,phones,temp
4.0,4.11,F,phones,temp
4.11,4.2,UW1,phones,temp
4.2,4.35,D,phones,temp
4.35,4.43,M,phones,temp
4.43,4.51,AY2,phones,temp
4.51,4.62,S,phones,temp
4.62,4.74,EH1,phones,temp
4.74,4.81,L,phones,temp
4.81,4.84,F,phones,temp
6.07,6.15,K,phones,temp
6.15,6.2,UH1,phones,temp
6.2,6.23,D,phones,temp
6.23,6.26,Y,phones,temp
6.26,6.33,UW1,phones,temp
6.33,6.4,L,phones,temp
6.4,6.44,EH1,phones,temp
6.44,6.51,T,phones,temp
6.51,6.57,K,phones,temp
6.57,6.6,AA1,phones,temp
6.6,6.69,M,phones,temp
6.69,6.78,EH0,phones,temp
6.78,6.83,N,phones,temp
6.83,6.86,T,phones,temp
6.86,6.9,AH0,phones,temp
6.9,7.04,G,phones,temp
7.04,7.15,UH1,phones,temp
7.15,7.2,D,phones,temp
7.2,7.24,R,phones,temp
7.24,7.29,EH1,phones,temp
7.29,7.36,S,phones,temp
7.36,7.43,T,phones,temp
7.43,7.46,ER0,phones,temp
7.46,7.53,AA2,phones,temp
7.53,7.61,N,phones,temp
7.61,7.64,T,phones,temp
7.64,7.68,F,phones,temp
7.68,7.73,AO1,phones,temp
7.73,7.76,R,phones,temp
7.76,7.82,M,phones,temp
7.82,8.0,IY1,phones,temp
8.78,8.82,HH,phones,temp
8.82,8.87,W,phones,temp
8.87,8.93,AH1,phones,temp
8.93,9.02,T,phones,temp
9.02,9.06,D,phones,temp
9.06,9.14,UW1,phones,temp
9.14,9.17,Y,phones,temp
9.17,9.2,UW1,phones,temp
9.2,9.3,L,phones,temp
9.3,9.42,AY1,phones,temp
9.42,9.51,K,phones,temp
9.51,9.56,T,phones,temp
9.56,9.6,AH0,phones,temp
9.6,9.66,D,phones,temp
9.66,9.78,UW1,phones,temp
9.78,9.89,IH0,phones,temp
9.89,9.96,N,phones,temp
9.96,10.0,Y,phones,temp
10.0,10.07,UH1,phones,temp
10.07,10.1,R,phones,temp
10.1,10.2,F,phones,temp
10.2,10.24,R,phones,temp
10.24,10.32,IY1,phones,temp
10.32,10.42,T,phones,temp
10.42,10.56,AY1,phones,temp
10.56,10.66,M,phones,temp
11.99,12.03,HH,phones,temp
12.03,12.1,W,phones,temp
12.1,12.15,IH1,phones,temp
12.15,12.33,CH,phones,temp
12.33,12.42,T,phones,temp
12.42,12.52,AY1,phones,temp
12.52,12.62,D,phones,temp
12.62,12.71,IH1,phones,temp
12.71,12.79,SH,phones,temp
12.89,12.97,IH1,phones,temp
12.97,13.1,Z,phones,temp
13.1,13.14,Y,phones,temp
13.14,13.24,UH1,phones,temp
13.24,13.31,R,phones,temp
13.41,13.48,AE1,phones,temp
13.48,13.55,B,phones,temp
13.55,13.61,S,phones,temp
13.61,13.65,AH0,phones,temp
13.65,13.7,L,phones,temp
13.7,13.83,UW2,phones,temp
13.83,13.88,T,phones,temp
13.88,13.99,F,phones,temp
13.99,14.04,EY1,phones,temp
14.04,14.12,V,phones,temp
14.12,14.21,ER0,phones,temp
14.21,14.25,IH0,phones,temp
14.25,14.31,T,phones,temp
